.z_height,E (Rydberg),"dE (K, relative to E(z_height=15 A)"
2,-1334.06634,2582.071852
2.05,-1334.069295,2115.361102
2.1,-1334.071835,1714.434184
2.15,-1334.074009,1371.164628
2.2,-1334.075864,1078.264346
2.25,-1334.077441,829.2457405
2.3,-1334.078777,618.3853888
2.35,-1334.079902,440.6624682
2.4,-1334.080846,291.6798115
2.45,-1334.081632,167.5344394
2.5,-1334.082283,64.77493081
2.55,-1334.082818,-19.65383755
2.6,-1334.083253,-88.40911257
2.65,-1334.083604,-143.7660533
2.7,-1334.083882,-187.6572029
2.75,-1334.084098,-221.7419591
2.8,-1334.084261,-247.4744658
2.85,-1334.084379,-266.2046614
2.9,-1334.084461,-279.1261754
2.95,-1334.084513,-287.2605401
3,-1334.084539,-291.4240338
3.05,-1334.084544,-292.2387333
3.1,-1334.084532,-290.2477718
3.15,-1334.084505,-285.9737569
3.2,-1334.084466,-279.928244
3.25,-1334.08442,-272.5596338
3.3,-1334.084367,-264.2294886
3.35,-1334.08431,-255.1699032
3.4,-1334.084248,-245.5150818
3.45,-1334.084184,-235.3929134
3.5,-1334.084119,-225.0086517
3.55,-1334.084053,-214.5943914
3.6,-1334.083988,-204.3253876
3.65,-1334.083924,-194.267953
3.7,-1334.083861,-184.3873525
3.75,-1334.0838,-174.6946381
3.8,-1334.08374,-165.2545438
3.85,-1334.083682,-156.1633808
3.9,-1334.083627,-147.4622
3.95,-1334.083575,-139.1415281
4,-1334.083524,-131.1824186
4.05,-1334.083476,-123.6180278
4.1,-1334.083431,-116.446777
4.15,-1334.083388,-109.6512985
4.2,-1334.083347,-103.2331711
4.25,-1334.083309,-97.17344839
4.3,-1334.083273,-91.44213171
4.35,-1334.083238,-86.0281689
4.4,-1334.083206,-80.94103324
4.45,-1334.083176,-76.17914589
4.5,-1334.083148,-71.71250816
4.55,-1334.083121,-67.5190158
4.6,-1334.083096,-63.5544604
4.65,-1334.083072,-59.82831509
4.7,-1334.08305,-56.35321094
4.75,-1334.08303,-53.09283382
4.8,-1334.08301,-50.03139495
4.85,-1334.082992,-47.16573661
4.9,-1334.082975,-44.48322774
4.95,-1334.082959,-41.97439517
5,-1334.082944,-39.62976564
5.5,-1334.082841,-23.25683057
6,-1334.082787,-14.72458942
6.5,-1334.082756,-9.935861157
7,-1334.082738,-7.040204181
7.5,-1334.082726,-5.155027295
8,-1334.082718,-3.888769446
8.5,-1334.082712,-2.955654243
9,-1334.082708,-2.256212565
9.5,-1334.082704,-1.717816133
10,-1334.082702,-1.308887493
10.5,-1334.0827,-0.993112469
11,-1334.082698,-0.745229075
11.5,-1334.082697,-0.560500701
12,-1334.082696,-0.404192029
12.5,-1334.082695,-0.284197532
13,-1334.082695,-0.189465022
13.5,-1334.082694,-0.101048016
14,-1334.082694,-0.056839514
14.5,-1334.082693,-0.009473258
15,-1334.082693,0
