Distance (A),E (Rydberg),d E (K)
0,-1334.084545,0
0.1025,-1334.08454,0.824715945
0.205,-1334.084524,3.222034154
0.3075,-1334.084502,6.755106684
0.41,-1334.084474,11.13919295
0.5125,-1334.084444,15.85531663
0.615,-1334.084414,20.59935638
0.7175,-1334.084386,25.03438345
0.82,-1334.084362,28.82028758
0.9225,-1334.084343,31.92939426
1.025,-1334.084328,34.21998368
1.1275,-1334.084319,35.62608247
1.23,-1334.084316,36.10708047
1.3325,-1334.084319,35.62608247
1.435,-1334.084328,34.21998368
1.5375,-1334.084343,31.92939426
1.64,-1334.084362,28.82028758
1.7425,-1334.084386,25.03438345
1.845,-1334.084414,20.59935638
1.9475,-1334.084444,15.85531663
2.05,-1334.084474,11.13919295
2.1525,-1334.084502,6.755106684
2.255,-1334.084524,3.222034154
2.3575,-1334.08454,0.824715945
2.46,-1334.084545,0
